Nazev;MAC;IP;Poznamka
Router;00:e0:4c:be:02:be;192.168.69.254;staticka
Switch;30:68:93:13:01:f7;192.168.69.1;staticka
PWRHOUSE;10:7c:61:06:b1:fc;192.168.69.5;staticka
Malina;2c:cf:67:c4:32:dc;192.168.69.6;staticka
NAS;10:62:e5:09:df:e3;192.168.69.3;staticka
XBOX;e4:2a:ac:d1:0b:66;192.168.69.20;staticka
LNV14;74:97:79:eb:6b:bf;192.168.69.253;DHCP_rezervace
Xiaomi_12X;50:98:39:5b:7e:00;192.168.69.12;staticka
Server_plug;FC:3C:D7:49:67:43;192.168.69.200;DHCP_rezervace
Bedroom_plug;FC:3C:D7:48:EE:C3;192.168.69.201;DHCP_rezervace
Server_plug;FC:3C:D7:49:5E:66;192.168.69.202;DHCP_rezervace
Bedroom_light_1;10:5A:17:B5:94:2F;192.168.69.203;DHCP_rezervace
Bedroom_light_2;10:5A:17:B5:73:D8;192.168.69.204;DHCP_rezervace
Bedroom_light_3;10:5A:17:B5:98:2C;192.168.69.205;DHCP_rezervace
Bedroom_light_4;10:5A:17:B5:75:A4;192.168.69.206;DHCP_rezervace
Loud_puck;78:93:C3:0F:89:7F;192.168.69.210;DHCP_rezervace
ESP_32_S3;C0:4E:30:0D:54:C8;192.168.69.211;DHCP_rezervace
Octoprint_server;FE:99:98:5D:B3:37;192.168.69.212;DHCP_rezervace
Guest_PC;66:cf:65:08:25:e6;192.168.69.209;DHCP
Guest_PC_2;d8:bb:c1:5c:8d:30;192.168.69.207;DHCP
Guest_Laptop;d4:81:d7:81:f0:a1;192.168.69.214;DHCP
