#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:03:04.310033521Z,15,connections,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:03:04.31525454Z,8,connections,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:04:04.417186865Z,3,connections,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:04:04.421201883Z,1,connections,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:05:04.503493752Z,1,connections,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:06:04.556010767Z,1,connections,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:03:04.310033521Z,betano.cz,domain,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:03:04.31525454Z,gmlinteractive.com,domain,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:04:04.417186865Z,betano.cz,domain,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:04:04.421201883Z,gmlinteractive.com,domain,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:05:04.503493752Z,betano.cz,domain,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:06:04.556010767Z,betano.cz,domain,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:03:04.310033521Z,N/A,service,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:03:04.31525454Z,N/A,service,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:04:04.417186865Z,N/A,service,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:04:04.421201883Z,N/A,service,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:05:04.503493752Z,N/A,service,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:06:04.556010767Z,N/A,service,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:03:04.310033521Z,4,severity,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:03:04.31525454Z,4,severity,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:04:04.417186865Z,4,severity,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:04:04.421201883Z,4,severity,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:05:04.503493752Z,4,severity,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:06:04.556010767Z,4,severity,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-29T19:14:32.730060792Z,2,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-29T19:15:32.767021182Z,1,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-29T19:16:32.809762265Z,1,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-29T21:00:43.720746456Z,2,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-29T21:00:43.723668233Z,1,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
