#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:31:43.58962887Z,Zadna,domain,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:39:43.907640709Z,Zadna,domain,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:43:44.07021387Z,Zadna,domain,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T15:33:50.172563446Z,Zadna,domain,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T15:50:50.902383885Z,Zadna,domain,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:31:43.58962887Z,202.12,down_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:39:43.907640709Z,100.59,down_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:43:44.07021387Z,142.78,down_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T15:33:50.172563446Z,199.57,down_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T15:50:50.902383885Z,225.85,down_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:31:43.58962887Z,TCP/443,service,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:39:43.907640709Z,TCP/443,service,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:43:44.07021387Z,TCP/443,service,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T15:33:50.172563446Z,UDP/443,service,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T15:50:50.902383885Z,TCP/443,service,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:31:43.58962887Z,202.69,total_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:39:43.907640709Z,101.27000000000001,total_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:43:44.07021387Z,144.85,total_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T15:33:50.172563446Z,200.60999999999999,total_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T15:50:50.902383885Z,225.98999999999998,total_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:31:43.58962887Z,0.57,up_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:39:43.907640709Z,0.68,up_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T12:43:44.07021387Z,2.07,up_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T15:33:50.172563446Z,1.04,up_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-07T15:50:50.902383885Z,0.14,up_mb,anomaly_high_traffic,1.1.1.1,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-03T14:51:25.745537452Z,production.cloudflare.docker.com,domain,anomaly_high_traffic,104.16.100.215,NAS,192.168.69.3,Nadmerny datovy prenos,10:62:e5:09:df:e3,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,6,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-03T14:51:25.745537452Z,768.64,down_mb,anomaly_high_traffic,104.16.100.215,NAS,192.168.69.3,Nadmerny datovy prenos,10:62:e5:09:df:e3,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
