#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T16:52:35.910449939Z,3256,connections,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:06:03.185811209Z,1025,connections,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:44:59.23648522Z,1025,connections,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T21:20:44.67521484Z,1025,connections,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T16:52:35.910449939Z,Zadna,domain,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:06:03.185811209Z,Zadna,domain,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:44:59.23648522Z,Zadna,domain,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T21:20:44.67521484Z,Zadna,domain,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T16:52:35.910449939Z,Vice portu (3262),service,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:06:03.185811209Z,Vice portu (1024),service,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:44:59.23648522Z,Vice portu (1024),service,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T21:20:44.67521484Z,Vice portu (1024),service,anomaly_port_scan,192.168.69.3,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:39:44.159643982Z,1025,connections,anomaly_port_scan,Ruzne,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:39:44.159643982Z,Zadna,domain,anomaly_port_scan,Ruzne,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:39:44.159643982Z,Vice portu (1024),service,anomaly_port_scan,Ruzne,PCS Computer Systems GmbH,192.168.69.208,Cileny Port Scan (1 IP),08:00:27:b6:5c:c2,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,6,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-03-30T17:19:33.926425597Z,163,connections,anomaly_port_scan,Subnet (101 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,7,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-03-30T17:19:33.926425597Z,Zadna,domain,anomaly_port_scan,Subnet (101 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-03-30T17:19:33.926425597Z,TCP/53,service,anomaly_port_scan,Subnet (101 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,9,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-03-30T17:19:33.926425597Z,4,severity,anomaly_port_scan,Subnet (101 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,10,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-07T12:35:43.747657016Z,156,connections,anomaly_port_scan,Subnet (106 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,11,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-07T12:35:43.747657016Z,Zadna,domain,anomaly_port_scan,Subnet (106 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,12,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-07T12:35:43.747657016Z,UDP/3478,service,anomaly_port_scan,Subnet (106 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,13,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-01T13:04:04.409691938Z,124,connections,anomaly_port_scan,Subnet (119 IP),FUJITSU LIMITED,192.168.69.213,Network Sweep (Horizontalni),74:2b:62:7b:33:cd,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,14,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-01T13:04:04.409691938Z,Zadna,domain,anomaly_port_scan,Subnet (119 IP),FUJITSU LIMITED,192.168.69.213,Network Sweep (Horizontalni),74:2b:62:7b:33:cd,home
,,15,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-01T13:04:04.409691938Z,UDP/53,service,anomaly_port_scan,Subnet (119 IP),FUJITSU LIMITED,192.168.69.213,Network Sweep (Horizontalni),74:2b:62:7b:33:cd,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,16,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-01T13:04:04.409691938Z,4,severity,anomaly_port_scan,Subnet (119 IP),FUJITSU LIMITED,192.168.69.213,Network Sweep (Horizontalni),74:2b:62:7b:33:cd,home
,,17,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-01T13:02:04.241610954Z,116,connections,anomaly_port_scan,Subnet (124 IP),FUJITSU LIMITED,169.254.11.15,Network Sweep (Horizontalni),74:2b:62:7b:33:cd,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,18,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-01T13:02:04.241610954Z,Zadna,domain,anomaly_port_scan,Subnet (124 IP),FUJITSU LIMITED,169.254.11.15,Network Sweep (Horizontalni),74:2b:62:7b:33:cd,home
,,19,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-01T13:02:04.241610954Z,UDP/3478,service,anomaly_port_scan,Subnet (124 IP),FUJITSU LIMITED,169.254.11.15,Network Sweep (Horizontalni),74:2b:62:7b:33:cd,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,20,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-01T13:02:04.241610954Z,4,severity,anomaly_port_scan,Subnet (124 IP),FUJITSU LIMITED,169.254.11.15,Network Sweep (Horizontalni),74:2b:62:7b:33:cd,home
,,21,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-09T15:18:54.7475797Z,240,connections,anomaly_port_scan,Subnet (127 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,22,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-09T15:18:54.7475797Z,Zadna,domain,anomaly_port_scan,Subnet (127 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,23,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-09T15:18:54.7475797Z,UDP/3478,service,anomaly_port_scan,Subnet (127 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,24,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-09T15:18:54.7475797Z,4,severity,anomaly_port_scan,Subnet (127 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,25,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:26:19.232533379Z,30,connections,anomaly_port_scan,Subnet (16 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,26,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:26:19.232533379Z,Zadna,domain,anomaly_port_scan,Subnet (16 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,27,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:26:19.232533379Z,Nekolik specifickych portu,service,anomaly_port_scan,Subnet (16 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,28,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:28:19.299179821Z,37,connections,anomaly_port_scan,Subnet (17 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,29,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:28:19.299179821Z,Zadna,domain,anomaly_port_scan,Subnet (17 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,30,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:28:19.299179821Z,Nekolik specifickych portu,service,anomaly_port_scan,Subnet (17 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,31,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:25:19.0983881Z,35,connections,anomaly_port_scan,Subnet (19 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,32,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:25:19.0983881Z,Zadna,domain,anomaly_port_scan,Subnet (19 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,33,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T17:25:19.0983881Z,Nekolik specifickych portu,service,anomaly_port_scan,Subnet (19 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,34,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T18:32:02.612516373Z,58,connections,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,34,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:25:04.386920471Z,49,connections,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,34,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:40:04.89864387Z,47,connections,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,34,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T20:48:39.560507494Z,44,connections,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,34,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-15T16:31:21.630839241Z,49,connections,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,34,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-15T16:32:21.668569665Z,49,connections,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,35,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T18:32:02.612516373Z,Zadna,domain,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,35,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:25:04.386920471Z,Zadna,domain,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,35,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:40:04.89864387Z,Zadna,domain,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,35,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T20:48:39.560507494Z,Zadna,domain,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
