#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,vendor
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-04T20:03:49.403855134Z,10.4.194.126,ip,anomaly_unknown_mac,00:e0:4c:bc:2f:82,home,REALTEK SEMICONDUCTOR CORP.

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,vendor
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-04T20:03:49.403855134Z,3,severity,anomaly_unknown_mac,00:e0:4c:bc:2f:82,home,REALTEK SEMICONDUCTOR CORP.

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,vendor
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:39:46.641298852Z,0.0.0.0,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:39:46.646002556Z,0.0.0.0,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:40:25.642934868Z,192.168.69.208,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:40:25.718233536Z,192.168.69.208,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:42:25.716258241Z,192.168.69.208,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:42:25.791460742Z,192.168.69.208,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:43:02.81034527Z,192.168.69.5,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:43:02.81155979Z,192.168.69.5,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:43:35.798960568Z,192.168.69.5,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:43:35.823362762Z,192.168.69.5,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:44:25.860527463Z,192.168.69.5,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:44:25.880869317Z,192.168.69.5,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:44:59.88721465Z,192.168.69.5,ip,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
